,subject,value,hemi,region,sex,age,yeo_label
455,49196,0.04619692608309505,right,20,F,2.004,Visual
456,48184,0.04820789598981082,right,20,M,2.007,Visual
457,49078,0.04306195474188094,right,20,M,2.01,Visual
458,42019,0.04580258739035926,right,20,M,3.816,Visual
459,41807,0.04447828440206971,right,20,M,3.904,Visual
460,41716,0.047881627198268585,right,20,M,3.907,Visual
461,41854,0.04610862839791317,right,20,M,3.915,Visual
462,41651,0.0420598028081298,right,20,M,3.948,Visual
463,41547,0.04402529219711969,right,20,M,3.973,Visual
464,41519,0.04524277325004601,right,20,M,3.981,Visual
465,41463,0.04634973665038073,right,20,M,4.074,Visual
466,41458,0.04606852052964468,right,20,M,4.112,Visual
